,state_id,county_name
828,6,Calhoun
829,34,Tippecanoe
830,42,Somerset
831,12,Forsyth
832,10,Pulaski
833,34,St. Joseph
834,8,Teton
835,7,Harvey
836,30,Madison
837,0,Garfield
838,42,Union
839,39,McKean
840,39,Lawrence
841,0,Elbert
842,26,Hartley
843,31,Jackson
844,7,Johnson
845,26,Nueces
846,19,San Luis Obispo
847,34,Cass
848,13,Beaufort
849,21,Cuyahoga
850,45,Silver Bow
851,10,Marion
852,13,Sumter
853,23,Navajo
854,27,Bulloch
855,27,Emanuel
856,18,Walsh
857,0,Jackson
858,12,Davidson
859,29,Obion
860,5,Idaho
861,28,Buffalo
862,6,Roscommon
863,28,Scotts Bluff
864,45,Valley
865,21,Lorain
866,13,Clarendon
867,10,Scott
868,43,Montgomery
869,11,Los Alamos
870,8,Hot Springs
871,3,St. Tammany
872,39,Butler
873,19,San Mateo
874,23,Yavapai
875,33,Snohomish
876,2,Itasca
877,1,Oklahoma
878,7,Sherman
879,31,DeKalb
880,13,Darlington
881,6,Menominee
882,13,Pickens
883,27,Barrow
884,0,Pitkin
885,22,Lake
886,33,Douglas
887,6,St. Joseph
888,31,Edgar
889,6,Clinton
890,0,Routt
891,26,Navarro
892,43,McCracken
893,12,Bladen
894,11,Quay
895,44,Chittenden
896,37,Mason
897,34,Grant
898,40,Knox
899,25,Johnson
900,1,Texas
901,4,Waukesha
902,34,Howard
903,37,Wayne
904,21,Marion
905,2,Pope
906,36,St. Lucie
907,26,Webb
908,30,Butler
909,8,Albany
910,37,Kanawha
911,4,Chippewa
912,30,Tuscaloosa
913,36,Bay
914,20,Erie
915,27,Greene
916,18,Sargent
917,1,Le Flore
918,20,Cortland
919,41,Wicomico
920,30,Mobile
921,12,Lincoln
922,1,Okmulgee
923,26,Houston
924,29,Hamilton
925,39,Dauphin
926,26,Hamilton
927,46,Hillsborough
928,39,Washington
929,12,Rutherford
930,31,Lake
931,16,Middlesex
932,25,Dallas
933,25,Hamilton
934,8,Sweetwater
935,38,Alcorn
936,31,Montgomery
937,23,Gila
938,1,Kiowa
939,26,Hutchinson
940,15,Spotsylvania
941,18,McLean
942,38,Forrest
943,20,Schenectady
944,28,Otoe
945,25,Plymouth
946,19,Imperial
947,7,Cowley
948,26,Val Verde
949,12,Hertford
950,26,Lamar
951,15,Frederick
952,1,Pottawatomie
953,20,Oneida
954,27,Muscogee
955,4,Walworth
956,34,Vigo
957,19,San Joaquin
958,33,Clallam
959,26,Medina
960,12,Randolph
961,27,Dodge
962,3,Jefferson Davis
963,1,Comanche
964,11,Sierra
965,27,Decatur
966,46,Cheshire
967,1,Grady
968,39,Lycoming
969,24,Humboldt
970,33,Franklin
971,19,Stanislaus
972,4,Taylor
973,26,Harrison
974,7,Geary
975,27,Floyd
976,0,Mesa
977,19,Monterey
978,1,Washita
979,18,Adams
980,25,Fremont
981,32,Jefferson
982,29,Franklin
983,4,Shawano
984,8,Weston
985,26,Jim Hogg
986,12,Person
987,31,Adams
988,12,Alamance
989,27,Houston
990,26,Fayette
991,10,Adair
992,15,Albemarle
993,6,Isabella
994,20,Cattaraugus
995,17,Clatsop
996,12,Scotland
997,2,Martin
998,25,Union
999,39,Crawford
1000,30,Dale County
1001,15,Pulaski
1002,3,Terrebonne
1003,39,Beaver
1004,12,Anson
1005,42,Burlington
1006,12,Wilkes
1007,21,Wood
1008,26,Wilbarger
1009,20,Clinton
1010,20,Broome
1011,45,Beaverhead
1012,26,Edwards
1013,26,Lubbock
1014,45,Roosevelt
1015,4,La Crosse
1016,22,Minnehaha
1017,18,Ward
1018,26,Tarrant
1019,36,Taylor
1020,29,Cumberland
1021,34,Kosciusko
1022,46,Rockingham
1023,28,Boone
1024,42,Bergen
1025,8,Washakie
1026,33,Klickitat
1027,28,Cheyenne
1028,4,Price
1029,26,Henderson
1030,33,Thurston
1031,38,Lauderdale
1032,19,Mendocino
1033,2,Kittson
1034,39,Westmoreland
1035,27,Chattahoochee
1036,26,Cooke
1037,36,Osceola
1038,2,Polk
1039,36,Clay
1040,2,Stevens
1041,45,Glacier
1042,26,Anderson
1043,6,Ingham
1044,45,Hill
1045,22,Beadle
1046,4,Ashland
1047,12,Moore
1048,21,Delaware
1049,26,Rockwall
1050,36,Santa Rosa
1051,40,Hancock
1052,12,Chowan
1053,25,Linn
1054,23,Santa Cruz
1055,3,Tangipahoa
1056,28,Lincoln
1057,29,Shelby
1058,38,Washington
1059,27,Carroll
1060,18,Foster
1061,39,Monroe
1062,33,Skagit
1063,0,Archuleta
1064,22,Oglala Lakota
1065,27,Clayton
1066,0,San Miguel
1067,40,Kennebec
1068,4,St. Croix
1069,45,Fallon
1070,27,Richmond
1071,28,Platte
1072,12,Lenoir
1073,21,Logan
1074,25,Carroll
1075,2,Brown
1076,6,Otsego
1077,28,Phelps
1078,32,Sebastian
1079,30,Jackson
1080,36,Dixie
1081,44,Washington
1082,28,Chase
1083,3,Orleans
1084,42,Cape May
1085,30,Jefferson
1086,29,Coffee
1087,15,Page
1088,27,Clarke
1089,38,DeSoto
1090,21,Ottawa
1091,15,Newport News
1092,41,Baltimore City
1093,31,Alexander
1094,21,Athens
1095,12,Robeson
1096,26,Galveston
1097,45,Richland
1098,19,Yolo
1099,32,Polk
1100,44,Franklin
1101,45,Garfield
1102,32,Independence
1103,15,Dinwiddie
1104,30,DeKalb
1105,25,Henry
1106,1,Woodward
1107,12,Sampson
1108,0,Baca
1109,31,Richland
1110,26,Wise
1111,10,St. Francois
1112,11,Luna
1113,28,Saunders
1114,6,Schoolcraft
1115,26,Brazoria
1116,4,Waupaca
1117,10,Howell
1118,43,Barren
1119,15,Manassas
1120,21,Richland
1121,9,Essex
1122,2,Clay
1123,26,Pecos
1124,0,Park
1125,31,McDonough
1126,4,Outagamie
1127,22,Lawrence
1128,6,Shiawassee
1129,28,Gage
1130,28,Thomas
1131,10,Pettis
1132,18,Cass
1133,4,Wood
1134,15,Culpeper
